dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;160;NE;NORDESTE;PAU FERRO;3372.52
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;35;S;SUL;URUGUAIANA;0.00
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;48;S;SUL;ARAUCARIA;0.00
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;107;S;SUL;PAMPA SUL;82.18
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;149;S;SUL;SAO SEPE;103.39
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;156;S;SUL;CANDIOTA_3;103.76
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;24;S;SUL;J.LACER. C;285.18
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;28;S;SUL;FIGUEIRA;330.64
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;25;S;SUL;J.LACER. B;331.67
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;27;S;SUL;J.LAC. A2;333.15
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;169;S;SUL;MADEIRA;371.01
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;26;S;SUL;J.LAC. A1;392.82
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;254;S;SUL;B.BONITA I;650.00
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;64;S;SUL;S.TIARAJU;698.14
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;12;SE;SUDESTE;CUIABA CC;0.00
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;65;SE;SUDESTE;ATLAN_CSA;0.00
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;334;SE;SUDESTE;W.ARJONA;0.00
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;153;SE;SUDESTE;DAIA;0.00
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;230;SE;SUDESTE;PREDILECTA;0.00
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;434;SE;SUDESTE;W.ARJONA O;0.00
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;13;SE;SUDESTE;ANGRA 2;20.12
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;1;SE;SUDESTE;ANGRA 1;31.17
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;171;SE;SUDESTE;NORTEFLU 1;109.65
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;172;SE;SUDESTE;NORTEFLU 2;125.89
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;229;SE;SUDESTE;O.PINTADA;132.53
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;146;SE;SUDESTE;UTE STA VI;143.16
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;183;SE;SUDESTE;ATLANTICO;230.67
