nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
CAPIVARI;2022-07-05;374.95599365234375;228.8730010986328;61.040000915527344
DOCE;2022-07-05;12.89900016784668;9.269000053405762;71.8582992553711
GRANDE;2022-07-05;51476.95703125;37768.92578125;73.37049865722656
IGUACU;2022-07-05;10062.9345703125;9214.2353515625;91.56610107421875
JACUI;2022-07-05;3029.35400390625;2716.337890625;89.66719818115234
JEQUITINHONHA;2022-07-05;2967.7880859375;2530.6669921875;85.27120208740234
PARAGUACU;2022-07-05;335.38299560546875;284.8940124511719;84.9458999633789
PARAGUAI;2022-07-05;555.7979736328125;450.2300109863281;81.00599670410156
PARAIBA DO SUL;2022-07-05;7554.89697265625;3603.876953125;47.70249938964844
PARANA;2022-07-05;3691.574951171875;2218.4990234375;60.09629821777344
PARANAIBA;2022-07-05;78500.9453125;48053.52734375;61.21390151977539
PARANAPANEMA;2022-07-05;12094.4912109375;7169.76806640625;59.28129959106445
PARNAIBA;2022-07-05;264.1780090332031;250.46800231933594;94.810302734375
SAO FRANCISCO;2022-07-05;52727.2109375;47475.92578125;90.04070281982422
TIETE;2022-07-05;9725.24609375;7233.869140625;74.38240051269531
TOCANTINS;2022-07-05;49880.60546875;36241.68359375;72.65689849853516
URUGUAI;2022-07-05;5928.34814453125;5917.2587890625;99.81289672851562
AMAZONAS;2022-07-06;2028.23095703125;1640.969970703125;80.90650177001953
CAPIVARI;2022-07-06;374.95599365234375;224.24099731445312;59.80459976196289
DOCE;2022-07-06;12.89900016784668;9.21399974822998;71.43190002441406
GRANDE;2022-07-06;51476.95703125;37650.80078125;73.14109802246094
IGUACU;2022-07-06;10062.9345703125;9126.0107421875;90.68939971923828
JACUI;2022-07-06;3029.35400390625;2708.10498046875;89.39550018310547
JEQUITINHONHA;2022-07-06;2967.7880859375;2528.47705078125;85.19740295410156
PARAGUACU;2022-07-06;335.38299560546875;283.99798583984375;84.67870330810547
PARAGUAI;2022-07-06;555.7979736328125;449.2969970703125;80.83820343017578
PARAIBA DO SUL;2022-07-06;7554.89697265625;3589.62890625;47.51390075683594
PARANA;2022-07-06;3691.574951171875;2233.676025390625;60.50740051269531
