id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
NE;Nordeste;2009-02-28;7366.75129464
S;Sul;2009-02-28;8933.43686607
SE;Sudeste/Centro-Oeste;2009-02-28;31328.50043155
N;Norte;2009-03-31;3570.14533602
NE;Nordeste;2009-03-31;7612.01887097
S;Sul;2009-03-31;9095.49118683
SE;Sudeste/Centro-Oeste;2009-03-31;32278.24798387
N;Norte;2009-04-30;3552.64280556
NE;Nordeste;2009-04-30;7349.41812500
S;Sul;2009-04-30;8537.68121111
SE;Sudeste/Centro-Oeste;2009-04-30;30176.03961111
N;Norte;2009-05-31;3539.46846774
NE;Nordeste;2009-05-31;7123.15169355
S;Sul;2009-05-31;8199.38976882
SE;Sudeste/Centro-Oeste;2009-05-31;29781.37087366
N;Norte;2009-06-30;3623.45733333
NE;Nordeste;2009-06-30;7095.80025000
S;Sul;2009-06-30;8260.60262778
SE;Sudeste/Centro-Oeste;2009-06-30;29069.17641667
N;Norte;2009-07-31;3568.44927419
NE;Nordeste;2009-07-31;7212.78768817
S;Sul;2009-07-31;8199.56553763
SE;Sudeste/Centro-Oeste;2009-07-31;30106.69580645
N;Norte;2009-08-31;3587.15805108
NE;Nordeste;2009-08-31;7328.16283602
S;Sul;2009-08-31;7984.50284946
SE;Sudeste/Centro-Oeste;2009-08-31;30694.90920699
N;Norte;2009-09-30;3635.32823611
NE;Nordeste;2009-09-30;7744.08645833
S;Sul;2009-09-30;8046.30061111
SE;Sudeste/Centro-Oeste;2009-09-30;31984.10975667
N;Norte;2009-10-31;3610.08875000
NE;Nordeste;2009-10-31;7935.48443548
S;Sul;2009-10-31;8176.25438172
SE;Sudeste/Centro-Oeste;2009-10-31;31928.34540323
N;Norte;2009-11-30;3651.67584722
NE;Nordeste;2009-11-30;7959.13020833
S;Sul;2009-11-30;8724.03850000
SE;Sudeste/Centro-Oeste;2009-11-30;33636.32336111
N;Norte;2009-12-31;3660.20676075
NE;Nordeste;2009-12-31;7999.65298387
S;Sul;2009-12-31;8581.27477151
SE;Sudeste/Centro-Oeste;2009-12-31;32458.13728495
N;Norte;2010-01-31;3713.62200253
NE;Nordeste;2010-01-31;7971.63021505
S;Sul;2010-01-31;8892.73050639
SE;Sudeste/Centro-Oeste;2010-01-31;33574.70875512
N;Norte;2010-02-28;3806.76717262
NE;Nordeste;2010-02-28;8289.27480655
S;Sul;2010-02-28;9626.35246280
SE;Sudeste/Centro-Oeste;2010-02-28;35293.77572917
N;Norte;2010-03-31;3907.49573925
NE;Nordeste;2010-03-31;8579.17662634
S;Sul;2010-03-31;9450.40014785
SE;Sudeste/Centro-Oeste;2010-03-31;34891.03103495
N;Norte;2010-04-30;3839.54629167
NE;Nordeste;2010-04-30;8174.59404028
S;Sul;2010-04-30;8621.87316667
SE;Sudeste/Centro-Oeste;2010-04-30;32864.08452778
N;Norte;2010-05-31;3887.54451613
NE;Nordeste;2010-05-31;8312.15887806
S;Sul;2010-05-31;8236.91825269
SE;Sudeste/Centro-Oeste;2010-05-31;32240.64502688
N;Norte;2010-06-30;3792.42000000
NE;Nordeste;2010-06-30;8008.55398611
S;Sul;2010-06-30;8467.04068056
SE;Sudeste/Centro-Oeste;2010-06-30;31891.99583333
N;Norte;2010-07-31;3777.02619624
NE;Nordeste;2010-07-31;7846.88787634
S;Sul;2010-07-31;8587.48844086
SE;Sudeste/Centro-Oeste;2010-07-31;32437.61037634
N;Norte;2010-08-31;3861.28470430
NE;Nordeste;2010-08-31;7746.28005376
S;Sul;2010-08-31;8594.90401882
SE;Sudeste/Centro-Oeste;2010-08-31;32875.82623656
N;Norte;2010-09-30;3938.01529167
NE;Nordeste;2010-09-30;8001.38912500
S;Sul;2010-09-30;8595.99370833
SE;Sudeste/Centro-Oeste;2010-09-30;34035.60838889
N;Norte;2010-10-31;3897.17361559
NE;Nordeste;2010-10-31;8361.32854839
S;Sul;2010-10-31;8530.57856183
SE;Sudeste/Centro-Oeste;2010-10-31;33160.57775538
N;Norte;2010-11-30;3902.77648611
NE;Nordeste;2010-11-30;8321.02244444
S;Sul;2010-11-30;9071.59111944
SE;Sudeste/Centro-Oeste;2010-11-30;33427.03229167
N;Norte;2010-12-31;3851.78771505
NE;Nordeste;2010-12-31;8088.36200269
S;Sul;2010-12-31;9135.26388441
SE;Sudeste/Centro-Oeste;2010-12-31;34495.10362903
N;Norte;2011-01-31;3793.57444892
NE;Nordeste;2011-01-31;7974.05743280
S;Sul;2011-01-31;9779.27721774
SE;Sudeste/Centro-Oeste;2011-01-31;34868.97982527
N;Norte;2011-02-28;3863.92309524
NE;Nordeste;2011-02-28;8087.93626488
S;Sul;2011-02-28;9969.08660714
SE;Sudeste/Centro-Oeste;2011-02-28;37140.59492738
N;Norte;2011-03-31;3938.35569892
NE;Nordeste;2011-03-31;8291.74885753
S;Sul;2011-03-31;9626.85395161
SE;Sudeste/Centro-Oeste;2011-03-31;34960.89962786
N;Norte;2011-04-30;4035.88552778
NE;Nordeste;2011-04-30;8203.18718056
S;Sul;2011-04-30;8916.47955556
SE;Sudeste/Centro-Oeste;2011-04-30;34864.42802778
N;Norte;2011-05-31;4098.87145161
NE;Nordeste;2011-05-31;8002.63827957
S;Sul;2011-05-31;8847.44869624
SE;Sudeste/Centro-Oeste;2011-05-31;33298.77739247
N;Norte;2011-06-30;4034.10938889
NE;Nordeste;2011-06-30;7924.34065278
S;Sul;2011-06-30;8891.63956944
SE;Sudeste/Centro-Oeste;2011-06-30;32613.02861111
N;Norte;2011-07-31;3941.89845430
NE;Nordeste;2011-07-31;7866.23369624
S;Sul;2011-07-31;8997.67701613
SE;Sudeste/Centro-Oeste;2011-07-31;33097.39493280
N;Norte;2011-08-31;4078.85215054
NE;Nordeste;2011-08-31;8138.98487903
S;Sul;2011-08-31;9303.11444892
SE;Sudeste/Centro-Oeste;2011-08-31;34757.33909946
N;Norte;2011-09-30;4127.86506944
NE;Nordeste;2011-09-30;8279.48077778
S;Sul;2011-09-30;9115.00054167
SE;Sudeste/Centro-Oeste;2011-09-30;34834.43644444
N;Norte;2011-10-31;4062.88509409
NE;Nordeste;2011-10-31;8385.03137097
S;Sul;2011-10-31;9260.92900538
SE;Sudeste/Centro-Oeste;2011-10-31;34539.98196237
N;Norte;2011-11-30;4041.61705556
NE;Nordeste;2011-11-30;8408.74766667
S;Sul;2011-11-30;9591.61755556
SE;Sudeste/Centro-Oeste;2011-11-30;34742.62226389
N;Norte;2011-12-31;4067.69942204
NE;Nordeste;2011-12-31;8525.96974462
S;Sul;2011-12-31;9822.09838710
SE;Sudeste/Centro-Oeste;2011-12-31;35128.04676075
N;Norte;2012-01-31;4004.55168011
NE;Nordeste;2012-01-31;8608.90058333
S;Sul;2012-01-31;10171.39665995
SE;Sudeste/Centro-Oeste;2012-01-31;35193.32493280
N;Norte;2012-02-29;4072.51933908
NE;Nordeste;2012-02-29;8541.47306034
